PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Emma,Puolarmaari,Standard,2021-05-25 14:33,73,13,4,3,3,4,5,3,6,4,3,3,2,3,4,3,6,5,3,3,3,3,,,,
Saikkis,Puolarmaari,Standard,2021-05-25 14:33,60,0,3,3,3,5,6,2,2,3,3,2,3,3,3,3,3,3,4,2,2,2,,,,
Henkka,Puolarmaari,Standard,2021-05-25 14:33,69,9,3,4,3,3,3,5,6,4,3,2,3,3,3,3,3,3,5,3,3,4,,,,
Par,Keinukallio Discgolf,Main,2021-05-24 16:32,63,,4,3,3,3,4,3,3,3,3,3,4,4,5,4,3,4,3,4,,,,,,
Kimmo,Keinukallio Discgolf,Main,2021-05-24 16:32,95,32,11,4,3,5,6,4,6,4,4,3,5,7,7,5,3,7,4,7,,,,,,
Emma,Keinukallio Discgolf,Main,2021-05-24 16:32,116,53,12,5,6,4,7,7,6,5,4,4,7,10,10,7,4,7,5,6,,,,,,
Saikkis,Keinukallio Discgolf,Main,2021-05-24 16:32,85,22,9,3,6,4,6,4,4,4,4,2,6,6,5,5,3,5,5,4,,,,,,
Jouni,Keinukallio Discgolf,Main,2021-05-24 16:32,89,26,10,5,5,3,7,3,7,4,3,4,5,6,6,4,3,6,3,5,,,,,,
Henkka,Keinukallio Discgolf,Main,2021-05-24 16:32,82,19,6,3,4,3,6,4,4,3,3,3,7,7,6,4,3,6,5,5,,,,,,
Par,Ford Amateur DiscGolfPark (A1),Main,2021-05-23 19:12,56,,3,3,3,3,3,4,3,3,3,3,3,3,4,3,3,3,3,3,,,,,,
Kimmo,Ford Amateur DiscGolfPark (A1),Main,2021-05-23 19:12,61,5,3,4,3,4,2,6,3,3,3,3,4,4,4,3,2,3,4,3,,,,,,
Emma,Ford Amateur DiscGolfPark (A1),Main,2021-05-23 19:12,70,14,4,4,5,5,4,6,3,3,4,3,5,3,5,3,3,3,3,4,,,,,,
Saikkis,Ford Amateur DiscGolfPark (A1),Main,2021-05-23 19:12,62,6,3,4,5,3,2,7,3,4,3,2,3,3,4,2,3,4,4,3,,,,,,
Par,Talin Frisbeegolfpuisto,Pro Tour Tali 2020,2021-05-18 17:10,61,,5,4,4,3,4,3,3,3,3,4,3,3,3,3,3,3,4,3,,,,,,
Kimmo,Talin Frisbeegolfpuisto,Pro Tour Tali 2020,2021-05-18 17:10,83,22,6,5,3,5,4,6,3,5,4,5,4,4,4,6,4,5,6,4,,,,,,
Emma,Talin Frisbeegolfpuisto,Pro Tour Tali 2020,2021-05-18 17:10,90,29,9,5,3,4,4,7,4,4,6,6,6,4,6,4,5,3,5,5,,,,,,
Saikkis,Talin Frisbeegolfpuisto,Pro Tour Tali 2020,2021-05-18 17:10,84,23,7,4,2,4,5,5,4,3,3,5,4,7,4,5,4,3,11,4,,,,,,
Jouni,Talin Frisbeegolfpuisto,Pro Tour Tali 2020,2021-05-18 17:10,84,23,6,5,3,3,4,9,5,4,3,5,5,4,5,4,3,3,9,4,,,,,,
Henkka,Talin Frisbeegolfpuisto,Pro Tour Tali 2020,2021-05-18 17:10,77,16,7,6,3,4,4,4,6,5,4,5,3,3,4,4,3,3,6,3,,,,,,
Par,Ford DiscGolfPark,Blue layout 2021,2021-05-17 19:01,60,,4,3,4,3,4,3,3,4,3,3,4,4,3,3,3,3,3,3,,,,,,
