PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20,Hole21,Hole22,Hole23,Hole24
Par,Malminiitty,Niitty,2021-07-01 21:23,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Malminiitty,Niitty,2021-07-01 21:23,26,-1,2,3,3,3,3,3,2,4,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-07-01 21:23,23,-4,2,3,3,2,2,3,3,2,3,,,,,,,,,,,,,,,
Teemu,Malminiitty,Niitty,2021-07-01 21:23,31,4,3,2,4,3,3,3,5,4,4,,,,,,,,,,,,,,,
Sampo,Malminiitty,Niitty,2021-07-01 21:23,31,4,3,3,3,3,3,3,6,4,3,,,,,,,,,,,,,,,
Par,Siltamäki,Updated,2021-07-01 18:30,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Teemu,Siltamäki,Updated,2021-07-01 18:30,60,7,3,3,3,3,3,3,4,6,4,3,3,4,3,3,3,4,3,2,,,,,,
Henkka,Siltamäki,Updated,2021-07-01 18:30,58,5,4,4,3,3,3,3,3,4,3,3,3,3,3,3,2,4,4,3,,,,,,
Sampo,Siltamäki,Updated,2021-07-01 18:30,63,10,4,4,2,4,3,3,5,4,4,3,5,5,3,2,3,3,4,2,,,,,,
Jouni,Siltamäki,Updated,2021-07-01 18:30,55,2,4,5,3,2,3,3,3,4,4,3,3,3,2,2,2,4,3,2,,,,,,
Par,Siltamäki,Updated,2021-07-01 16:18,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Jouni,Siltamäki,Updated,2021-07-01 16:18,53,0,4,3,2,2,3,3,3,4,3,3,2,4,3,2,2,3,4,3,,,,,,
Kimmo,Siltamäki,Updated,2021-07-01 16:18,60,7,3,5,2,3,3,3,3,3,4,4,4,4,4,3,2,4,3,3,,,,,,
Teemu,Siltamäki,Updated,2021-07-01 16:18,64,11,3,4,3,3,5,3,3,4,4,4,4,4,3,3,3,4,3,4,,,,,,
Saikkis,Siltamäki,Updated,2021-07-01 16:18,57,4,5,3,3,3,2,3,3,4,4,3,3,3,3,3,2,4,3,3,,,,,,
Ile,Siltamäki,Updated,2021-07-01 16:18,69,16,4,4,4,3,3,3,4,5,6,3,5,4,3,4,3,4,4,3,,,,,,
Sampo,Siltamäki,Updated,2021-07-01 16:18,61,8,4,3,3,2,3,3,2,3,6,3,4,3,4,3,4,4,3,4,,,,,,
Par,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 19:26,21,,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,
Jouni,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 19:26,17,-4,2,3,2,2,3,3,2,,,,,,,,,,,,,,,,,
Henkka,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 19:26,18,-3,2,3,2,3,3,3,2,,,,,,,,,,,,,,,,,
Teemu,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 19:26,21,0,4,3,3,3,3,2,3,,,,,,,,,,,,,,,,,
Saikkis,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 19:26,21,0,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,
Par,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 18:51,21,,3,3,3,3,3,3,3,,,,,,,,,,,,,,,,,
Jouni,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 18:51,19,-2,2,3,2,3,3,2,4,,,,,,,,,,,,,,,,,
Henkka,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 18:51,18,-3,3,3,2,2,3,2,3,,,,,,,,,,,,,,,,,
Teemu,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 18:51,21,0,2,5,3,3,3,2,3,,,,,,,,,,,,,,,,,
Saikkis,Jokipuiston Koulun DiscGolfPark,Main,2021-06-28 18:51,19,-2,3,3,2,3,3,3,2,,,,,,,,,,,,,,,,,
Par,Talma DGP,Main,2021-06-28 16:52,40,,3,4,3,4,3,3,3,3,3,4,3,4,,,,,,,,,,,,
Jouni,Talma DGP,Main,2021-06-28 16:52,42,2,3,4,2,6,3,3,3,4,4,3,3,4,,,,,,,,,,,,
Henkka,Talma DGP,Main,2021-06-28 16:52,50,10,4,5,3,5,3,4,7,3,3,4,3,6,,,,,,,,,,,,
Teemu,Talma DGP,Main,2021-06-28 16:52,53,13,4,5,3,5,4,5,6,3,3,5,4,6,,,,,,,,,,,,
Saikkis,Talma DGP,Main,2021-06-28 16:52,49,9,5,4,3,5,5,4,3,4,3,5,4,4,,,,,,,,,,,,
Par,Äijänpelto Frisbeegolf,Main,2021-06-23 23:08,62,,3,3,4,3,4,3,4,3,3,3,3,4,3,4,5,3,3,4,,,,,,
Jouni,Äijänpelto Frisbeegolf,Main,2021-06-23 23:08,80,18,3,4,5,3,5,4,6,4,3,3,4,6,3,5,7,4,5,6,,,,,,
Par,Siltamäki,Updated,2021-06-21 20:23,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Jouni,Siltamäki,Updated,2021-06-21 20:23,53,0,3,4,3,3,3,3,2,4,4,2,2,3,3,3,2,3,3,3,,,,,,
Henu,Siltamäki,Updated,2021-06-21 20:23,59,6,3,4,3,4,3,4,2,3,4,4,3,3,4,3,3,4,3,2,,,,,,
Teemu,Siltamäki,Updated,2021-06-21 20:23,72,19,6,4,3,3,3,3,3,4,5,3,3,5,7,3,4,5,4,4,,,,,,
Par,Malminiitty,Niitty,2021-06-17 21:29,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Malminiitty,Niitty,2021-06-17 21:29,24,-3,2,2,2,3,3,3,2,3,4,,,,,,,,,,,,,,,
Ile,Malminiitty,Niitty,2021-06-17 21:29,29,2,3,3,3,3,3,4,4,3,3,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-06-17 20:36,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Malminiitty,Niitty,2021-06-17 20:36,24,-3,2,3,2,2,4,3,2,3,3,,,,,,,,,,,,,,,
Ile,Malminiitty,Niitty,2021-06-17 20:36,30,3,2,3,2,3,3,4,5,5,3,,,,,,,,,,,,,,,
Par,Siltamäki,Updated,2021-06-15 20:20,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Teemu,Siltamäki,Updated,2021-06-15 20:20,66,13,6,5,3,3,3,5,4,4,4,4,4,3,3,3,3,4,3,2,,,,,,
Henkka,Siltamäki,Updated,2021-06-15 20:20,57,4,5,4,3,3,3,2,4,4,4,3,2,3,3,3,3,3,3,2,,,,,,
Jouni,Siltamäki,Updated,2021-06-15 20:20,50,-3,3,3,2,2,3,2,2,3,4,3,3,3,4,3,2,3,3,2,,,,,,
Par,Siltamäki,Updated,2021-06-15 17:46,53,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,,,,,,
Jouni,Siltamäki,Updated,2021-06-15 17:46,56,3,3,3,3,3,4,3,3,3,4,3,3,2,4,2,3,4,3,3,,,,,,
Henkka,Siltamäki,Updated,2021-06-15 17:46,61,8,3,5,3,3,3,3,4,4,5,3,3,4,3,2,3,4,3,3,,,,,,
Ile,Siltamäki,Updated,2021-06-15 17:46,70,17,7,5,4,3,3,4,3,4,4,4,3,5,4,4,3,4,3,3,,,,,,
Teemu,Siltamäki,Updated,2021-06-15 17:46,64,11,3,4,5,3,3,3,4,4,5,4,3,3,4,3,3,5,3,2,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-09 19:50,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-06-09 19:50,22,-5,3,2,3,3,2,2,3,2,2,,,,,,,,,,,,,,,
Kimmo,Lentolan Frisbeegolf,Main,2021-06-09 19:50,25,-2,2,3,3,3,3,2,3,3,3,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-09 19:19,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-06-09 19:19,24,-3,3,2,3,3,2,3,3,3,2,,,,,,,,,,,,,,,
Kimmo,Lentolan Frisbeegolf,Main,2021-06-09 19:19,30,3,3,3,5,3,3,3,3,3,4,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-06-09 18:02,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Malminiitty,Niitty,2021-06-09 18:02,25,-2,2,3,2,3,3,3,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-06-09 18:02,24,-3,2,2,2,3,3,3,3,3,3,,,,,,,,,,,,,,,
Saikkis,Malminiitty,Niitty,2021-06-09 18:02,23,-4,3,2,3,2,2,3,3,3,2,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-06-09 17:00,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Malminiitty,Niitty,2021-06-09 17:00,23,-4,2,4,2,2,2,2,3,3,3,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-06-09 17:00,24,-3,3,2,3,2,3,2,3,4,2,,,,,,,,,,,,,,,
Saikkis,Malminiitty,Niitty,2021-06-09 17:00,26,-1,3,2,2,4,3,3,3,3,3,,,,,,,,,,,,,,,
Ile,Malminiitty,Niitty,2021-06-09 17:00,39,12,6,3,5,4,6,4,4,4,3,,,,,,,,,,,,,,,
Par,Malminiitty,Niitty,2021-06-09 16:11,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Malminiitty,Niitty,2021-06-09 16:11,26,-1,3,3,4,3,3,3,3,2,2,,,,,,,,,,,,,,,
Henkka,Malminiitty,Niitty,2021-06-09 16:11,27,0,3,4,2,3,3,2,3,4,3,,,,,,,,,,,,,,,
Saikkis,Malminiitty,Niitty,2021-06-09 16:11,24,-3,2,3,3,2,4,2,3,2,3,,,,,,,,,,,,,,,
Ile,Malminiitty,Niitty,2021-06-09 16:11,28,1,3,3,2,3,4,3,3,4,3,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-04 22:23,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-06-04 22:23,27,0,2,2,3,4,4,3,3,3,3,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-04 21:44,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-06-04 21:44,24,-3,2,3,3,3,3,2,4,2,2,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-04 20:58,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-06-04 20:58,25,-2,3,2,4,3,3,2,3,2,3,,,,,,,,,,,,,,,
Kimmo,Lentolan Frisbeegolf,Main,2021-06-04 20:58,26,-1,3,3,3,3,3,3,3,3,2,,,,,,,,,,,,,,,
Emma,Lentolan Frisbeegolf,Main,2021-06-04 20:58,30,3,4,3,3,3,4,4,3,3,3,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-04 20:43,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
Jouni,Lentolan Frisbeegolf,Main,2021-06-04 20:43,7,-2,2,3,2,0,0,0,0,0,0,,,,,,,,,,,,,,,
Par,Lentolan Frisbeegolf,Main,2021-06-04 19:55,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,,,,,
