PlayerName,CourseName,LayoutName,Date,Total,+/-,Hole1,Hole2,Hole3,Hole4,Hole5,Hole6,Hole7,Hole8,Hole9,Hole10,Hole11,Hole12,Hole13,Hole14,Hole15,Hole16,Hole17,Hole18,Hole19,Hole20
Teemu,Malminiitty,Vakio layout,2020-04-24 19:33,32,5,3,3,4,2,3,5,4,4,4,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 20:16,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-04-24 20:16,27,0,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-04-24 20:16,34,7,3,3,4,3,4,5,5,4,3,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-04-24 20:16,26,-1,2,2,3,3,3,3,3,4,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 20:16,25,-2,3,2,3,2,3,3,3,2,4,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-04-24 20:16,28,1,3,3,3,3,3,3,3,4,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-04-24 21:13,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-04-24 21:13,30,3,3,3,4,3,3,3,3,4,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-04-24 21:13,27,0,2,2,3,3,3,4,4,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-04-24 21:13,27,0,2,2,3,4,3,3,3,3,4,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-08 17:20,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-08 17:20,28,1,3,2,4,3,4,3,2,3,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-08 17:20,25,-2,3,2,3,3,2,3,3,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-05-08 17:20,24,-3,3,2,3,2,3,3,3,3,2,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-08 18:05,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-08 18:05,32,5,3,4,3,4,3,3,5,3,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-08 18:05,27,0,3,2,3,3,3,3,4,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-05-08 18:05,25,-2,2,3,2,3,2,3,4,3,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-08 19:10,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-05-08 19:10,27,0,3,3,3,3,2,4,3,2,4,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-05-08 19:10,31,4,4,3,4,3,3,4,3,3,4,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-05-08 19:10,26,-1,2,3,2,3,2,5,4,2,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-05-08 19:10,25,-2,3,3,2,2,5,3,3,2,2,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-08 19:10,30,3,4,3,3,2,3,3,4,3,5,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-08 20:01,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-08 20:01,32,5,2,3,4,3,5,5,3,3,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-08 20:01,28,1,3,5,3,3,2,4,3,2,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-05-08 20:01,28,1,3,3,3,3,3,4,3,4,2,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-08 20:53,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-08 20:53,39,12,6,3,5,5,4,3,4,4,5,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-08 20:53,27,0,3,2,4,2,4,3,3,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-05-08 20:53,32,5,3,3,4,5,4,4,3,3,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-23 16:07,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-23 16:07,28,1,3,3,4,2,4,3,3,3,3,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-23 16:07,28,1,3,3,4,3,3,3,3,3,3,,,,,,,,,,,
Kari,Malminiitty,Vakio layout,2020-05-23 16:07,29,2,3,3,3,4,3,5,2,3,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-23 16:58,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-23 16:58,35,8,3,4,4,3,3,5,3,6,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-23 16:58,29,2,3,3,3,4,3,3,3,4,3,,,,,,,,,,,
Kari,Malminiitty,Vakio layout,2020-05-23 16:58,28,1,3,2,4,4,4,3,3,2,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-23 18:03,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-23 18:03,33,6,5,4,4,3,3,3,5,3,3,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-23 18:03,32,5,3,3,4,4,3,3,5,3,4,,,,,,,,,,,
Kari,Malminiitty,Vakio layout,2020-05-23 18:03,31,4,3,3,3,4,3,4,3,3,5,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-29 19:09,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-05-29 19:09,26,2,2,3,3,3,3,4,4,4,0,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-05-29 19:09,33,9,3,3,3,6,4,4,6,4,0,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-05-29 19:09,24,0,2,2,3,2,3,4,4,4,0,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-29 19:09,29,5,3,3,3,3,4,4,6,3,0,,,,,,,,,,,
Saku,Malminiitty,Vakio layout,2020-05-29 19:09,27,3,4,3,3,3,3,4,4,3,0,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-05-29 20:30,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-05-29 20:30,32,5,3,2,6,2,3,6,4,3,3,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-05-29 20:30,27,0,2,3,4,2,3,4,4,2,3,,,,,,,,,,,
Saku,Malminiitty,Vakio layout,2020-05-29 20:30,28,1,2,3,3,3,3,3,4,4,3,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-06-12 21:55,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-06-12 21:55,41,14,3,4,5,6,6,4,3,4,6,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-06-12 21:55,34,7,3,3,4,3,5,4,5,4,3,,,,,,,,,,,
Saikkis,Malminiitty,Vakio layout,2020-06-12 21:55,25,-2,2,2,3,2,3,4,3,2,4,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-06-12 21:55,24,-3,3,2,2,3,3,3,2,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-06-12 21:55,32,5,3,3,3,3,4,4,4,4,4,,,,,,,,,,,
Henu,Malminiitty,Vakio layout,2020-06-12 21:55,32,5,3,3,4,3,3,3,5,3,5,,,,,,,,,,,
Par,Malminiitty,Vakio layout,2020-06-13 13:34,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Teemu,Malminiitty,Vakio layout,2020-06-13 13:34,32,5,4,3,3,3,3,4,4,4,4,,,,,,,,,,,
Antti,Malminiitty,Vakio layout,2020-06-13 13:34,26,-1,3,2,2,3,3,3,4,3,3,,,,,,,,,,,
Henkka,Malminiitty,Vakio layout,2020-06-13 13:34,28,1,2,3,3,3,3,3,4,3,4,,,,,,,,,,,
Kimmo,Malminiitty,Vakio layout,2020-06-13 13:34,42,15,4,3,5,4,5,5,5,5,6,,,,,,,,,,,
Henu,Malminiitty,Vakio layout,2020-06-13 13:34,32,5,3,3,3,3,5,4,4,4,3,,,,,,,,,,,
Emma,Malminiitty,Vakio layout,2020-06-13 13:34,31,4,3,3,3,2,3,5,3,5,4,,,,,,,,,,,
Par,Malminiitty,Niitty,2020-06-18 22:07,27,,3,3,3,3,3,3,3,3,3,,,,,,,,,,,
Kimmo,Malminiitty,Niitty,2020-06-18 22:07,28,1,3,2,4,3,3,3,3,3,4,,,,,,,,,,,
